"species","filter","methodPA","nPA","initial","cleaned","x","y","min_geom","AUC","TSS","OUC","boyce","COI"
"Arbutusunedo","control","disk","1000",-0.372096328381414,-0.390439440053786,-0.141355763439013,-0.455987859932892,-0.45573592141847,0.994426315789474,0.977342105263158,0.0251098817947342,0.767926988265971,NA
"Arbutusunedo","control","disk","Npresences",-0.372096328381414,-0.390439440053786,-0.141355763439013,-0.455987859932892,-0.45573592141847,0.981268539325843,0.954782771535581,0.0438946876765811,0.737940026075619,NA
"Arbutusunedo","control","random","1000",-0.372096328381414,-0.390439440053786,-0.141355763439013,-0.455987859932892,-0.45573592141847,0.951837606837607,0.836688034188034,0.0285796641650889,0.696870925684485,NA
"Arbutusunedo","control","random","Npresences",-0.372096328381414,-0.390439440053786,-0.141355763439013,-0.455987859932892,-0.45573592141847,0.93355871886121,0.810003558718861,0.0487369445620896,0.744458930899609,NA
"Arbutusunedo","country","disk","1000",-0.372096328381414,-0.390439440053786,-0.141355763439013,-0.455987859932892,-0.45573592141847,0.994051037344398,0.977982987551867,0.0517202747562023,0.723598435462842,NA
"Arbutusunedo","country","disk","Npresences",-0.372096328381414,-0.390439440053786,-0.141355763439013,-0.455987859932892,-0.45573592141847,0.97382037037037,0.941829259259259,0.0768124099742293,0.655801825293351,NA
"Arbutusunedo","country","random","1000",-0.372096328381414,-0.390439440053786,-0.141355763439013,-0.455987859932892,-0.45573592141847,0.904265060240964,0.712863453815261,0.0543406166880968,0.743155149934811,NA
"Arbutusunedo","country","random","Npresences",-0.372096328381414,-0.390439440053786,-0.141355763439013,-0.455987859932892,-0.45573592141847,0.910710344827586,0.726606896551724,0.0351919515464019,0.739243807040417,NA
"Arbutusunedo","pixel","disk","1000",-0.372096328381414,-0.390439440053786,-0.141355763439013,-0.455987859932892,-0.45573592141847,0.996024657534247,0.979849315068493,0.0260775057240875,0.596479791395046,NA
"Arbutusunedo","pixel","disk","Npresences",-0.372096328381414,-0.390439440053786,-0.141355763439013,-0.455987859932892,-0.45573592141847,0.9773625,0.946864285714286,0.0510953339568225,0.567796610169492,NA
"Arbutusunedo","pixel","random","1000",-0.372096328381414,-0.390439440053786,-0.141355763439013,-0.455987859932892,-0.45573592141847,0.941777777777778,0.803583333333333,0.0377702134053068,0.63102998696219,NA
"Arbutusunedo","pixel","random","Npresences",-0.372096328381414,-0.390439440053786,-0.141355763439013,-0.455987859932892,-0.45573592141847,0.922666666666667,0.77831,0.0303978172799397,0.655149934810952,NA
